Songsname,Pitch_Mean,Pitch_SD,Length,Time_Signature,DB_Value,Tempo,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Camelot
NAL BIRINAR PAT.mp3,2046.508113,673.6760372,460.2849792,4,1.340141594,95.33898305,0.007073043,0.256119246,0.18436715,-1.52E-05,2142.601122,-154.59798,2.7688522,-9.448357,1B
Aghunor Potharot.mp3,2562.326321,799.1434911,299.5089792,4,4.682235718,83.95522388,0.008448317,0.244435767,0.333122,3.70E-05,2793.005511,-82.97128,6.405236,10.41906,2B
KIBA KHANG UTHILE.mp3,3122.065313,975.6563671,406.1649792,4,1.949193776,87.890625,0.005989193,0.247815811,0.18792121,1.45E-05,2922.708987,-132.46872,2.201797,-17.321278,2B
NEW BIHU SONG.mp3,2920.94102,977.9590992,415.3569792,3,3.505443633,119.6808511,0.000560451,0.193771566,0.2721065,5.20E-06,3387.012411,-107.68077,3.954782,1.7010659,6B
Chal Champa Chal.mp3,2594.126979,884.9265146,428.8449792,4,-1.215529591,130.8139535,8.16E-05,0.236317476,0.10304749,-7.73E-06,2687.401938,-216.95714,-4.9624524,-37.675514,11B
Akashot Urile Akashi Jaan.mp3,2237.576236,704.5654372,339.9969792,3,1.900548935,160.7142857,0.000502723,0.228204433,0.18303478,1.88E-05,2353.249033,-147.7933,-0.24181148,-8.168011,9B
ALOHI HOI AHIM.mp3,2515.92219,786.1890238,329.3409792,4,0.493743308,86.53846154,0.006026338,0.206577753,0.14858206,1.05E-05,2516.325207,-162.26747,-1.14255,-16.752043,2B
ALOXUWA MOROM BURE.mp3,1790.661254,489.8836942,596.9169792,3,3.181669712,110.2941177,0.003388426,0.202946999,0.2390298,1.32E-05,1803.596838,-151.99846,-1.4725091,-5.0741677,6B
assamese bihu.mp3,2411.840567,827.940014,1066.116979,3,3.349870741,100.4464286,0.00370916,0.220550779,0.18361521,1.04E-05,2406.048612,-152.41847,-1.8044779,-16.053225,11B
ROHARE OI ROHEDOI.mp3,2308.435054,863.6269077,322.0449792,3,1.819998324,106.1320755,0.005366794,0.210673532,0.22774363,-6.52E-06,2393.349762,-146.80167,1.1870131,-10.326249,1B
Sagor Khon Hukuabo.mp3,2103.638668,721.2988927,366.1329792,4,-0.645289198,86.53846154,0.004122458,0.221428897,0.1654203,1.46E-05,2147.47908,-181.10043,-0.2563273,-19.149412,12B
Sagoror Pani.mp3,2168.123834,818.8070094,401.6049792,4,1.015090048,81.52173913,2.01E-05,0.229823588,0.17996581,7.37E-06,2308.300034,-172.95438,-3.523599,-17.001835,1B
SAITHAKUNG SAITHAKUNG LAGE.mp3,2756.968387,1450.149636,341.1969792,4,3.855289817,125,0.004799417,0.227801484,0.30349544,6.55E-05,3054.855118,-94.40606,6.874678,11.116816,3B
Sasoni new bihu.mp3,2328.659251,554.7063223,296.8929792,3,3.101926446,102.2727273,7.34E-05,0.242618177,0.30351695,-2.10E-05,2276.995984,-95.55813,6.2342567,5.512088,11B
SEKSEKI PORUA.mp3,2667.753099,936.4879226,372.1569792,3,3.773398697,82.72058824,1.20E-05,0.229970105,0.2815779,7.10E-06,2950.210214,-103.18348,5.334932,4.045438,12B
Sokute Logakoi.mp3,2816.627167,894.2265648,309.9249792,4,5.847740769,86.53846154,9.36E-05,0.237759412,0.31929466,-1.95E-05,2613.342478,-78.690315,5.185249,4.5161586,11B
Sokuwe Morom Dekha Hole.mp3,2856.960606,867.1913529,335.7489792,4,4.318064153,92.21311475,1.38E-05,0.246597748,0.26627573,-1.16E-05,2969.1009,-103.34294,5.8091164,0.21865006,2B
Sorai Ure Ure.mp3,2264.042297,882.7399401,272.3889792,3,-0.296374913,100.4464286,0.000551182,0.203270798,0.10478471,3.34E-05,2436.293537,-211.53091,-4.86236,-29.830387,4B
Sui dile suwalia jap mari dia.mp3,2862.805543,1015.070338,240.0369792,3,3.024434447,119.6808511,0.004189791,0.264983814,0.275318,3.35E-05,2660.591198,-96.27329,0.91440773,-0.9696929,10B
Assamese old.mp3,2451.601888,906.5846321,265.96678,3,1.022315919,99.38401442,0.001277711,0.179784513,0.15968516,1.27E-05,2697.304666,-158.7206,-1.5106773,-13.33995,4B
SUI SANG SUI SANG.mp3,2701.826081,986.7617682,331.8369792,3,3.449210227,95.33898305,0.000214643,0.221571704,0.29765177,-4.51E-06,3029.749162,-90.523056,6.3828216,8.792432,2B
TUMAR BIYAR DINAKHON.mp3,2280.839759,827.7352228,247.1649792,3,3.068520129,92.21311475,0.008197194,0.169472971,0.18327342,4.68E-05,2273.49678,-153.2205,-0.36017603,-13.5723505,2B
TUMI ANOR JODI.mp3,2345.206213,884.7925877,234.9729792,3,3.861277699,98.68421053,0.001237611,0.19369298,0.16877168,-1.91E-05,2366.883432,-153.90865,0.7317209,-11.139156,11B
Tumi Nasoni Atiya je Gabhoru.mp3,1583.227439,465.8272678,307.1889792,4,2.350255251,95.33898305,0.000909694,0.236544093,0.25212085,-1.43E-06,1677.707725,-156.8256,2.9182959,-0.3609146,1B
Tumi Nasoni Atiye Je Gabhoru.mp3,2620.362171,729.3791017,404.5089792,3,7.94282496,104.1666667,0.000193714,0.248329937,0.4793139,-7.45E-06,2733.949161,-29.20355,1.7914115,23.653961,1B
Uttar Lakhimpur Dibrugarh.mp3,2321.540807,1163.43971,308.3649792,4,4.016926885,89.28571429,0.031122481,0.187638167,0.26738346,4.81E-05,2709.390945,-140.09926,1.9446224,-6.629661,3B
VABISU EIBAR.mp3,2142.076019,866.4395474,274.6209792,4,1.271599084,127.8409091,0.00073681,0.206686195,0.18408023,-1.40E-05,2190.512327,-165.96812,-2.2330549,-12.314183,2B
Xose Kotha Kole.mp3,2643.846548,902.2234417,326.6529792,3,0.729877055,96.98275862,0.000974616,0.216549285,0.18745765,-1.70E-05,2558.444352,-141.28307,0.44423488,-13.793913,1B
Xoujak Jen Gabhoru.mp3,2852.943065,926.7315614,302.0289792,3,1.873227209,98.68421053,0.001428697,0.237449076,0.23094614,-7.32E-06,2672.229649,-114.93218,2.2642658,-4.824806,1B
XUNJONI NUXUDIBA.mp3,2324.078975,673.4881764,336.6369792,4,2.070144117,137.195122,0.000116171,0.200487131,0.17736498,2.94E-05,2438.549373,-154.7085,0.24577066,-11.7791195,3B
Assamese Old Hit Bihu Song.mp3,1979.644409,705.3913162,330.3847392,4,2.091050744,92.28515625,0.00695132,0.167143104,0.19576082,-0.000686583,2141.935883,-197.46371,-7.1813445,-31.433542,1B
Zubeen Garg Bihu Hit Song.mp3,2253.686197,891.2738162,407.6049792,4,4.156366885,130.8139535,0.004986959,0.213346775,0.23960304,-2.89E-05,2261.832122,-132.9919,1.4015423,-4.3427744,1B
JIBONOT MOI EBAR HE JAAN.mp3,1938.971746,564.3022937,398.0049792,4,3.216923177,93.75,0.028451297,0.238884685,0.2104393,-1.32E-06,1755.434434,-156.73694,-4.9601917,-13.997128,12B
DUKHIYA HOI JONOM.mp3,2308.691931,666.1979699,277.1169792,4,4.472231865,90.72580645,0.036554787,0.239676508,0.30340952,-1.15E-06,1991.903236,-130.15192,1.6553565,-8.818904,11B
Mayongor bejali.mp3,2200.173532,765.4055113,308.7489792,3,5.737480521,216.3461539,0.017907867,0.202154923,0.32434222,-3.55E-07,2168.31264,-112.18519,3.2655072,0.24259792,1B
ASSAMESE SONG.mp3,2527.165768,966.2505769,323.9889792,3,5.593521595,102.2727273,0.008864592,0.208642383,0.30570957,-8.86E-06,2530.063602,-124.6447,1.7019851,-6.7615786,3B
Atula Xunere.mp3,1918.986472,832.7436454,352.9809792,3,2.974087,104.1666667,0.051858913,0.211151823,0.25643358,-2.45E-05,2045.67105,-146.92882,2.80943,-8.633948,9B
Beautiful Bihu Song By Zubeen Garg.mp3,1881.076534,581.1570813,338.4129792,3,-0.432841145,98.68421053,0.007226278,0.23774294,0.18730138,1.78E-05,1868.35528,-166.84494,-1.3823844,-11.853397,10B
BEKA BEKIKOI SAAI.mp3,2118.302069,765.1526748,301.6449792,4,-0.202624351,86.53846154,0.000147976,0.186069636,0.13947096,-1.09E-05,1989.154861,-192.16603,-3.7137492,-23.97732,3B
Bhal Paboloi.mp3,3426.753349,1236.200225,300.3249792,3,2.595201433,95.33898305,0.002562301,0.201430905,0.2106873,-1.50E-05,3734.739352,-122.27997,0.74530107,-9.643168,1B
BHAL PAU MOI.mp3,2442.72042,1072.674054,571.1409792,4,4.187248945,96.98275862,0.050643206,0.216359146,0.20817584,8.96E-06,2371.477764,-156.53339,-5.437041,-20.062683,2B
BHEKULIR BIHU.mp3,2281.752923,1025.299947,416.8929792,4,3.90791744,125,0.04558422,0.238330306,0.2547852,3.06E-05,2506.683435,-147.1639,1.3341576,-13.155229,12B
Bhori Pisal Khale_Moromjaan.mp3,2497.58182,915.4069618,403.7169792,4,-0.665831491,89.28571429,3.49E-05,0.262714872,0.21657562,-1.28E-05,2426.249804,-127.682816,2.0196867,-4.815348,1B
BIHUTE NASIBOR MON.mp3,2556.394267,1247.971535,2692.932979,3,0.809693113,96.98275862,0.000146679,0.229363866,0.12928145,-8.47E-06,2771.795524,-182.01764,-1.309792,-16.22221,12B
BIJULI MARILE CHIRING.mp3,2559.35641,548.8390857,363.7089792,3,-6.189888716,110.2941177,0.004545292,0.218332176,0.09887869,2.98E-08,2478.412397,-223.08139,-10.091719,-50.38093,2B
Bohage Anile Jana.mp3,2018.200661,686.9493264,279.0849792,3,2.479853183,98.68421053,0.006118571,0.255263507,0.21199238,0.000135619,2193.074578,-151.75793,-1.0093125,-7.330615,2B
Bohutor Majot.mp3,2189.605377,709.8449521,503.3937188,3,-3.728906512,93.96306818,0.004321006,0.19806966,0.09169092,1.04E-08,2242.784417,-237.76497,-11.032017,-43.128574,12B
Borokha Potharot.mp3,2910.431133,1118.234036,300.4209792,4,1.336825639,82.72058824,0.003473735,0.236158888,0.16251683,1.16E-05,3082.185934,-164.77481,0.36444646,-17.529251,3B
Borolin Aspolin.mp3,2297.363928,672.3847706,379.0929792,3,4.922168553,96.98275862,9.61E-06,0.207601651,0.25898904,1.78E-06,2284.064431,-115.45022,2.8286307,0.22344726,11B
Chal Gori.mp3,2568.037584,1052.700369,278.3169792,4,7.922676802,125,0.000529359,0.191549555,0.39370757,2.18E-05,2730.334963,-80.754295,5.931554,12.113448,10B
Champadoi.mp3,2214.149817,721.8147181,314.9889792,4,4.406629801,90.72580645,0.013331997,0.23819912,0.33305797,1.99E-05,2334.33229,-102.90143,3.9760365,4.2406936,1B
Chintamani.mp3,2699.306626,786.3348099,426.1329792,4,1.619164646,90.72580645,0.000354923,0.273246393,0.28205124,-2.22E-06,2590.673426,-113.02529,1.0562078,-8.548819,2B
Chokuwe Kotha Kole.mp3,2600.920519,714.6137371,346.2849792,3,-2.543711364,104.1666667,0.000566814,0.23869451,0.13153957,-1.57E-05,2559.734691,-178.33081,-1.8170726,-25.615166,2B
DEHEI JOUBONMOTI.mp3,2880.312596,1396.894308,363.1809792,3,0.768640041,100.4464286,0.000486471,0.162263296,0.12621768,-1.02E-05,3561.904211,-180.05101,-0.90117043,-14.717672,12B
DHEKIA SAKERE.mp3,2569.093333,1058.594351,258.3729792,3,2.615519166,100.4464286,0.003225182,0.225223809,0.1983414,9.41E-07,3041.876617,-152.61258,3.674703,-7.145141,1B
Dikrong Nodi.mp3,2549.1868,996.140433,382.4049792,3,6.597114205,95.33898305,3.34E-05,0.234299941,0.37172705,-3.31E-05,2600.222904,-80.99253,5.441932,12.907299,10B
Fagunar Molaya.mp3,2953.144314,1066.050136,342.7089792,3,4.262610376,100.4464286,6.84E-05,0.231507817,0.27511907,-1.68E-05,2848.258353,-101.18818,5.7425866,0.48110676,11B
faguni polakhor.mp3,2243.898407,863.6499464,283.9329792,3,6.176399589,75,0.0005143,0.234496295,0.32320806,4.45E-06,2345.942601,-109.75294,1.1314491,5.2477875,3B
fati gola dusati bah kune jura.mp3,1995.89839,718.1474523,307.4529792,3,1.552873552,104.1666667,0.017780077,0.21285281,0.18510537,6.24E-05,2035.103736,-170.64561,-2.2262414,-15.615748,5B
Folk Dance.mp3,2797.009627,1056.240309,188.8689792,4,2.152651697,82.72058824,0.00314293,0.246788599,0.19004226,6.35E-06,3049.012199,-149.8471,1.7624925,-10.876446,3B
GAMUSARE BHAJOTE.mp3,2324.20415,1205.419621,147.3009792,3,7.075755,86.53846154,0.001902952,0.215391764,0.31969395,-6.95E-05,2763.635855,-135.45444,4.8147216,-1.1678734,3B
Garu Garite Uthiloi.mp3,2575.560119,1158.345178,285.9729792,3,6.946200728,100.4464286,5.30E-05,0.23687788,0.36912686,-5.10E-05,2674.881035,-89.435295,3.4542913,10.102934,7B
GORU SORAISILU.mp3,2412.788886,912.6875194,310.4769792,4,1.024951786,77.05479452,0.006518764,0.19970976,0.123720266,2.06E-06,2234.773116,-180.6017,-2.6579175,-24.28996,12B
GOSE BONE PAATE.mp3,2279.465174,818.6375103,252.6849792,3,4.757256508,110.2941177,0.000126472,0.172265383,0.21067603,6.30E-05,2254.749772,-140.30272,1.9539466,-8.745919,1B
Gose kobo hudhile.mp3,2393.366272,850.4541145,354.051678,3,2.24737376,95.703125,0.04460877,0.233016468,0.30140412,-7.44E-06,2556.304137,-101.34947,3.650438,2.222249,10B
Hatore Anguli.mp3,2424.277783,1204.940429,307.6929792,3,5.188832879,112.5,0.060385548,0.162726219,0.2848329,8.51E-05,2683.202681,-124.81182,4.36318,-5.9491677,9B
Haturibo pari buli.mp3,1928.363283,591.8512413,348.1089792,4,8.090838194,95.33898305,0.000707823,0.244283482,0.35610455,4.42E-06,1959.726069,-105.54909,1.647245,8.786321,2B
Honda City.mp3,1907.637411,694.4285955,257.0529792,3,3.636634648,86.53846154,0.000125605,0.198550146,0.28802696,3.76E-05,2350.020405,-128.10762,5.217534,6.2335386,4B
Hunjoni Tumak Bhal.mp3,2662.90314,1079.077988,417.4929792,3,2.848778665,100.4464286,0.000258609,0.209968183,0.25029308,-4.48E-06,2625.976284,-116.54553,1.8960447,-3.549316,2B
HUNTORA.mp3,3079.346346,1240.953539,257.7729792,4,4.6848014,140.625,0.002483602,0.155633074,0.23524562,5.94E-06,3446.033617,-132.51901,3.1358593,-6.810884,1B
JAANMONI GUNA GOTHA.mp3,2357.88852,788.1235331,315.6129792,3,2.380235791,92.21311475,1.43E-06,0.238199429,0.26349324,-1.45E-05,2466.937287,-114.538155,4.6658745,3.2176442,12B
JAAPE DIM DISANGOT.mp3,2455.012515,907.2946517,366.2529792,3,5.894542336,95.33898305,0.010145882,0.228206526,0.34833026,3.80E-05,2847.398481,-94.29562,5.217306,10.686415,3B
Jape Dim Dishangot.mp3,2211.392964,1026.096319,246.3729792,4,3.058986962,125,0.000465221,0.2069552,0.23837268,4.05E-05,2623.489235,-132.92703,4.6599936,2.1209729,1B
Ji Dukhan Hatere.mp3,2319.105331,843.4271084,606.4929792,3,0.198378041,108.1730769,0.00334126,0.203019,0.13410522,1.16E-06,2188.545657,-184.78406,-3.7819636,-24.613152,9B
JIBON JAJI NOI.mp3,2131.137647,786.871456,587.9649792,3,0.69560945,102.2727273,0.003449385,0.199376547,0.16940393,1.91E-06,2258.808212,-166.62973,0.69267726,-12.734462,12B
